Time,EncoderAngle
56149164.3019,-64.0
56149185.165,-64.0
56149204.4242,-64.0
56149225.3051,-63.0
56149245.0035,-63.0
56149264.2414,-63.0
56149285.0426,-62.0
56149305.001,-62.0
56149324.432,-62.0
56149344.9214,-63.0
56149364.2654,-63.0
56149385.358,-63.0
56149404.3713,-63.0
56149425.2249,-62.0
56149444.8034,-62.0
56149464.5425,-62.0
56149485.9848,-63.0
56149504.9435,-63.0
56149525.0869,-62.0
56149544.7786,-62.0
56149564.36,-62.0
56149585.2065,-62.0
56149605.0026,-63.0
56149626.5252,-63.0
56149644.3548,-63.0
56149665.04,-64.0
56149685.5879,-64.0
56149714.6057,-64.0
56149735.7602,-65.0
56149755.1357,-65.0
56149774.5102,-65.0
56149794.4721,-65.0
56149814.3865,-65.0
56149835.8209,-65.0
56149854.5464,-65.0
56149875.036,-64.0
56149896.379,-64.0
56149915.0181,-65.0
56149934.623,-65.0
56149954.8469,-65.0
56149974.3074,-65.0
56149994.8003,-64.0
56150015.0293,-64.0
56150035.6344,-65.0
56150055.1223,-65.0
56150074.8013,-66.0
56150094.8465,-66.0
56150114.4097,-66.0
56150135.9221,-65.0
56150155.0145,-65.0
56150177.2336,-66.0
56150194.7141,-66.0
56150214.7337,-67.0
56150235.4044,-67.0
56150255.0195,-66.0
56150285.2671,-66.0
56150306.5932,-66.0
56150324.9428,-65.0
56150344.8648,-65.0
56150364.8295,-64.0
56150385.2588,-64.0
56150404.8074,-64.0
56150424.9415,-65.0
56150445.0869,-65.0
56150464.8238,-64.0
56150485.1655,-64.0
56150504.4115,-64.0
56150525.1023,-65.0
56150545.3769,-65.0
56150565.1305,-66.0
56150585.1559,-66.0
56150607.4213,-67.0
56150629.2332,-67.0
56150644.9373,-66.0
56150664.897,-66.0
56150684.798,-66.0
56150704.7261,-65.0
56150724.8786,-65.0
56150744.9148,-64.0
56150765.164,-64.0
56150785.219,-63.0
56150804.3128,-63.0
56150824.8599,-63.0
56150844.8003,-62.0
56150864.4667,-62.0
56150885.0348,-62.0
56150904.9999,-61.0
56150945.1926,-61.0
56150966.5025,-61.0
56150985.025,-61.0
56151004.9307,-60.0
56151024.5791,-60.0
56151045.0488,-60.0
56151065.0434,-59.0
56151084.3952,-59.0
56151105.0597,-59.0
56151124.9047,-60.0
56151144.8297,-60.0
56151166.1025,-61.0
56151194.7174,-61.0
56151214.7329,-61.0
56151235.152,-60.0
56151255.078,-60.0
56151275.247,-59.0
56151295.2329,-59.0
56151314.9874,-58.0
56151334.7791,-58.0
56151354.8207,-59.0
56151377.1517,-59.0
56151395.0851,-58.0
56151414.8628,-58.0
56151434.431,-58.0
56151457.9931,-59.0
56151474.9379,-59.0
56151494.9043,-58.0
56151515.0398,-58.0
56151535.2102,-59.0
56151554.7672,-59.0
56151575.0885,-60.0
56151594.9372,-60.0
56151614.1652,-60.0
56151635.0213,-59.0
56151654.359,-59.0
56151675.0622,-59.0
56151694.8059,-60.0
56151714.7654,-60.0
56151734.9756,-59.0
56151754.2471,-59.0
56151775.6693,-59.0
56151795.0518,-59.0
56151815.5387,-58.0
56151834.4256,-58.0
56151854.3639,-58.0
56151876.6148,-58.0
56151894.7886,-57.0
56151915.2795,-57.0
56151934.3421,-57.0
56151954.8875,-56.0
56151974.5063,-56.0
56151994.8715,-56.0
56152015.1998,-55.0
56152034.3639,-55.0
56152055.1429,-55.0
56152077.0989,-54.0
56152104.7884,-54.0
56152127.971,-54.0
56152144.8568,-53.0
56152165.1849,-53.0
56152185.2553,-53.0
56152204.8089,-52.0
56152224.351,-52.0
56152244.9468,-52.0
56152267.4051,-51.0
56152287.348,-51.0
56152304.7781,-50.0
56152324.2608,-50.0
56152344.8554,-50.0
56152364.2213,-50.0
56152384.4058,-50.0
56152406.3051,-50.0
56152424.4425,-50.0
56152451.4174,-49.0
56152475.1169,-49.0
56152495.132,-48.0
56152514.5559,-48.0
56152534.9432,-48.0
56152555.153,-48.0
56152574.1955,-48.0
56152594.7454,-48.0
56152625.2008,-49.0
56152654.6915,-49.0
56152685.1666,-49.0
56152704.5096,-49.0
56152724.9634,-48.0
56152744.4356,-48.0
56152764.5431,-48.0
56152784.9743,-48.0
56152804.9538,-47.0
56152824.8606,-47.0
56152844.886,-46.0
56152864.7978,-46.0
56152884.8329,-45.0
56152904.7127,-45.0
56152924.8965,-45.0
56152944.8971,-46.0
56152965.2028,-46.0
56152984.9488,-45.0
56153005.0603,-45.0
56153024.9396,-46.0
56153044.9949,-46.0
56153065.0901,-47.0
56153085.0551,-47.0
56153115.4201,-46.0
56153134.28,-46.0
56153154.8479,-46.0
56153175.4347,-45.0
56153194.4186,-45.0
56153214.5121,-45.0
56153234.6419,-45.0
56153255.385,-44.0
56153274.8927,-44.0
56153294.9559,-43.0
56153314.9533,-43.0
56153336.1549,-42.0
56153354.422,-42.0
56153375.0444,-42.0
56153394.28,-42.0
56153415.2722,-41.0
56153435.038,-41.0
56153454.9587,-42.0
56153474.4736,-42.0
56153494.9784,-42.0
56153516.2345,-43.0
56153534.9557,-43.0
56153554.9416,-44.0
56153574.2217,-44.0
56153594.8689,-44.0
56153617.4141,-44.0
56153634.8996,-45.0
56153654.3435,-45.0
56153674.9266,-45.0
56153694.9056,-46.0
56153715.0348,-46.0
56153735.2344,-46.0
56153754.795,-47.0
56153774.1774,-47.0
56153794.8189,-47.0
56153814.2399,-47.0
56153835.0545,-46.0
56153855.0207,-46.0
56153874.2175,-46.0
56153894.1897,-46.0
56153917.1189,-45.0
56153934.9956,-45.0
56153954.9488,-46.0
56153974.5805,-46.0
56153995.092,-46.0
56154014.6935,-46.0
56154035.1609,-47.0
56154054.9897,-47.0
56154075.0782,-47.0
56154094.585,-47.0
56154115.5196,-48.0
56154134.6021,-48.0
56154155.0441,-48.0
56154174.8202,-48.0
56154195.5448,-47.0
56154214.8466,-47.0
56154234.6656,-47.0
56154254.7517,-47.0
56154274.8267,-47.0
56154294.3773,-47.0
56154317.4985,-48.0
56154334.4428,-48.0
56154355.6206,-48.0
56154374.8903,-48.0
56154394.6624,-48.0
56154414.7689,-49.0
56154436.9234,-49.0
56154454.9176,-49.0
56154475.2182,-49.0
56154494.3848,-49.0
56154514.3484,-49.0
56154535.1846,-49.0
56154555.0875,-50.0
56154574.6251,-50.0
56154596.2906,-50.0
56154614.8376,-50.0
56154634.4783,-50.0
56154654.8704,-50.0
56154674.7661,-50.0
56154694.9843,-51.0
56154714.4627,-51.0
56154734.4208,-51.0
56154755.6249,-51.0
56154774.8006,-51.0
56154794.8833,-52.0
56154814.226,-52.0
56154835.3338,-52.0
56154854.5818,-52.0
56154874.6008,-52.0
56154894.8667,-53.0
56154915.1634,-53.0
56154934.9574,-53.0
56154954.4255,-53.0
56154975.0213,-54.0
56154994.3067,-54.0
56155015.0283,-54.0
56155035.0693,-55.0
56155054.7991,-55.0
56155074.7189,-55.0
56155095.3398,-55.0
56155114.7868,-55.0
56155134.6743,-55.0
56155155.4429,-56.0
56155174.8047,-56.0
56155195.0117,-56.0
56155214.4867,-56.0
56155234.908,-57.0
56155255.9393,-57.0
56155275.1268,-57.0
56155294.8234,-57.0
56155326.0984,-57.0
56155347.0511,-58.0
56155365.3715,-58.0
56155385.8252,-58.0
56155405.4167,-59.0
56155425.1708,-59.0
56155444.7825,-59.0
56155465.1841,-59.0
56155485.5945,-60.0
56155504.1801,-60.0
56155524.7765,-60.0
56155544.8554,-61.0
56155564.4849,-61.0
56155584.9289,-61.0
56155604.9974,-60.0
56155624.8131,-60.0
56155644.8161,-61.0
56155665.6096,-61.0
56155684.6397,-61.0
56155705.2437,-62.0
56155724.6474,-62.0
56155744.9895,-62.0
56155765.1976,-63.0
56155785.2932,-63.0
56155804.7749,-62.0
56155825.1604,-62.0
56155845.2594,-61.0
56155865.3952,-61.0
56155885.1181,-62.0
56155905.0587,-62.0
56155924.5796,-62.0
56155945.0204,-63.0
56155965.1592,-63.0
56155985.1605,-64.0
56156004.9603,-64.0
56156025.2031,-63.0
56156046.105,-63.0
56156064.8822,-64.0
56156084.4361,-64.0
56156104.8801,-64.0
56156124.7648,-65.0
56156145.0161,-65.0
56156164.7003,-66.0
56156185.2769,-66.0
56156205.0552,-67.0
56156225.0346,-67.0
56156244.9448,-68.0
56156265.2632,-68.0
56156285.1502,-69.0
56156315.1198,-69.0
56156334.8246,-70.0
56156354.9113,-70.0
56156375.0911,-71.0
56156395.0582,-71.0
56156414.6625,-72.0
56156435.0262,-72.0
56156454.8859,-73.0
56156475.2729,-73.0
56156494.5694,-73.0
56156516.6553,-72.0
56156536.3512,-72.0
56156554.7196,-71.0
56156574.8372,-71.0
56156594.6105,-71.0
56156614.7698,-70.0
56156635.3077,-70.0
56156654.4242,-70.0
56156674.7661,-71.0
56156695.0805,-71.0
56156715.1985,-70.0
56156734.8498,-70.0
56156754.4213,-70.0
56156774.7304,-71.0
56156794.795,-71.0
56156814.2262,-71.0
56156834.9427,-70.0
56156854.6032,-70.0
56156875.0365,-69.0
56156895.6755,-69.0
56156917.5159,-68.0
56156934.3708,-68.0
56156954.8678,-68.0
56156974.9171,-67.0
56156996.7182,-67.0
56157015.7629,-67.0
56157034.612,-66.0
56157054.9673,-66.0
56157074.9411,-65.0
56157094.9604,-65.0
56157115.1778,-66.0
56157136.3148,-66.0
56157157.6648,-66.0
56157174.9261,-67.0
56157195.3316,-67.0
56157225.2813,-68.0
56157255.7048,-68.0
56157274.7061,-69.0
56157295.0038,-69.0
56157315.2738,-68.0
56157334.6171,-68.0
56157355.246,-68.0
56157376.2728,-67.0
56157394.5153,-67.0
56157415.0664,-67.0
56157435.0982,-68.0
56157455.2559,-68.0
56157474.8573,-69.0
56157495.7293,-69.0
56157514.7409,-69.0
56157534.6006,-69.0
56157554.8242,-70.0
56157578.8266,-70.0
56157595.199,-71.0
56157615.3605,-71.0
56157635.2836,-72.0
56157654.574,-72.0
56157677.0143,-72.0
56157695.3798,-73.0
56157715.2525,-73.0
56157735.0233,-74.0
56157755.288,-74.0
56157775.1566,-75.0
56157794.9965,-75.0
56157816.1858,-74.0
56157835.3485,-74.0
56157855.2604,-75.0
56157875.7968,-75.0
56157894.9115,-76.0
56157915.2273,-76.0
56157934.9491,-76.0
56157955.7383,-75.0
56157974.3621,-75.0
56157995.2144,-75.0
56158015.0446,-74.0
56158035.4775,-74.0
56158054.5575,-74.0
56158074.9697,-75.0
56158094.9864,-75.0
56158114.4049,-75.0
56158135.0297,-74.0
56158154.629,-74.0
56158174.51,-74.0
56158194.731,-74.0
56158214.967,-74.0
56158235.5243,-75.0
56158255.1582,-75.0
56158275.0412,-74.0
56158294.8374,-74.0
56158315.4325,-74.0
56158335.3004,-73.0
56158354.4911,-73.0
56158374.6793,-73.0
56158394.9441,-73.0
56158415.3113,-72.0
56158435.6821,-72.0
56158454.7089,-72.0
56158475.2646,-71.0
56158495.1519,-71.0
56158515.2563,-71.0
56158534.8383,-71.0
56158554.8905,-71.0
56158575.3485,-70.0
56158594.684,-70.0
56158614.8962,-70.0
56158635.3762,-69.0
56158654.9554,-69.0
56158675.2952,-69.0
56158694.2644,-69.0
56158715.7606,-69.0
56158734.8361,-69.0
56158765.5274,-68.0
56158785.0003,-68.0
56158805.5426,-68.0
56158825.0628,-67.0
56158844.8594,-67.0
56158865.0172,-67.0
56158884.7137,-67.0
56158904.5829,-67.0
56158924.7207,-67.0
56158945.5168,-66.0
56158964.715,-66.0
56158985.2262,-66.0
56159004.7417,-65.0
56159024.8697,-65.0
56159044.7456,-65.0
56159064.783,-65.0
56159085.1845,-64.0
56159105.4315,-64.0
56159125.487,-64.0
56159157.7444,-63.0
56159174.8671,-63.0
56159194.9329,-63.0
56159214.1946,-63.0
56159234.8005,-62.0
56159254.9613,-62.0
56159274.7651,-61.0
56159295.0017,-61.0
56159315.2214,-62.0
56159334.9147,-62.0
56159354.5107,-62.0
56159375.5594,-61.0
56159394.8968,-61.0
56159414.7619,-62.0
56159434.2818,-62.0
56159455.4434,-62.0
56159475.2135,-61.0
56159503.2826,-61.0
56159524.6352,-61.0
56159544.2285,-61.0
56159564.9166,-61.0
56159584.9588,-60.0
56159604.9677,-60.0
56159625.0027,-59.0
56159644.8923,-59.0
56159664.8932,-58.0
56159685.0883,-58.0
56159704.2421,-58.0
56159726.6239,-58.0
56159744.8802,-57.0
56159765.1008,-57.0
56159785.001,-58.0
56159805.1637,-58.0
56159824.937,-59.0
56159844.5503,-59.0
56159865.4582,-59.0
56159884.8353,-58.0
56159905.1378,-58.0
56159924.8119,-59.0
56159944.3292,-59.0
56159967.9738,-59.0
56159984.6414,-59.0
56160005.1342,-58.0
56160024.8703,-58.0
56160044.8911,-58.0
56160064.8454,-57.0
56160085.3208,-57.0
56160105.3615,-58.0
56160124.8739,-58.0
56160154.6068,-58.0
56160174.9251,-58.0
56160195.5839,-58.0
56160214.5555,-58.0
56160235.3757,-59.0
56160254.8197,-59.0
56160275.4772,-60.0
56160294.5465,-60.0
56160314.9837,-60.0
56160335.1118,-61.0
56160354.6615,-61.0
56160376.0959,-61.0
56160394.6473,-61.0
56160415.0538,-62.0
56160434.5133,-62.0
56160455.2734,-62.0
56160475.8194,-63.0
56160494.8579,-63.0
56160515.2595,-63.0
56160534.1964,-63.0
56160555.1001,-62.0
56160574.3957,-62.0
56160595.61,-62.0
56160614.5923,-62.0
56160634.5355,-62.0
56160654.9292,-63.0
56160674.367,-63.0
56160694.9384,-63.0
56160715.3274,-63.0
56160734.2253,-63.0
56160754.515,-63.0
56160774.4232,-63.0
56160795.5624,-64.0
56160824.698,-64.0
56160887.8397,-64.0
56160904.3001,-64.0
56160924.3299,-64.0
56160944.4653,-64.0
