Time,EncoderAngle
55149177.0421,64.0
55149196.9047,65.0
55149216.3022,65.0
55149236.232,65.0
55149256.1174,65.0
55149277.2228,65.0
55149296.9782,65.0
55149316.2738,65.0
55149336.7794,66.0
55149356.1868,66.0
55149377.0833,66.0
55149397.5396,66.0
55149416.1614,66.0
55149436.5043,66.0
55149457.1362,66.0
55149476.9255,66.0
55149498.7965,67.0
55149518.926,67.0
55149536.1168,67.0
55149560.9891,67.0
55149577.1023,68.0
55149598.8642,68.0
55149616.0908,68.0
55149636.0116,68.0
55149657.342,68.0
55149677.2826,68.0
55149698.9361,67.0
55149716.8891,67.0
55149736.6408,68.0
55149755.8939,68.0
55149779.4742,68.0
55149797.8286,68.0
55149816.4747,69.0
55149835.8733,69.0
55149857.395,69.0
55149878.1421,70.0
55149897.6361,70.0
55149916.0592,70.0
55149936.4684,71.0
55149956.0866,71.0
55149976.3498,71.0
55149999.0887,71.0
55150016.7739,71.0
55150036.3443,71.0
55150055.9799,71.0
55150077.2287,71.0
55150096.684,72.0
55150116.4891,72.0
55150136.1608,72.0
55150155.8453,72.0
55150178.9365,72.0
55150208.1674,72.0
55150227.1366,72.0
55150246.6988,73.0
55150266.6635,73.0
55150286.066,73.0
55150308.4868,74.0
55150327.9348,74.0
55150346.9531,74.0
55150365.989,74.0
55150387.5657,75.0
55150409.2436,75.0
55150427.4423,75.0
55150446.9172,74.0
55150467.8559,74.0
55150486.7229,73.0
55150506.4251,73.0
55150526.4821,73.0
55150546.8332,73.0
55150566.7126,74.0
55150586.75,74.0
55150608.5199,73.0
55150636.6716,73.0
55150657.5373,73.0
55150681.4497,73.0
55150697.0394,72.0
55150716.6892,72.0
55150736.6124,73.0
55150759.4724,73.0
55150776.837,72.0
55150796.686,72.0
55150817.721,71.0
55150847.28,71.0
55150866.5499,70.0
55150886.2165,70.0
55150908.12,70.0
55150927.0805,70.0
55150946.8316,69.0
55150966.6545,69.0
55150986.1999,69.0
55151008.2907,68.0
55151027.2414,68.0
55151046.8611,68.0
55151066.1542,68.0
55151086.0369,68.0
55151107.8362,67.0
55151127.7995,67.0
55151146.6183,67.0
55151166.0213,67.0
55151186.2051,67.0
55151206.6241,67.0
55151227.8643,66.0
55151246.4094,66.0
55151266.1651,66.0
55151286.5028,66.0
55151306.4024,66.0
55151329.9136,66.0
55151346.3944,66.0
55151366.6884,65.0
55151386.0824,65.0
55151409.3295,65.0
55151426.78,65.0
55151446.154,65.0
55151466.0103,65.0
55151487.3287,64.0
55151506.7825,64.0
55151526.3688,64.0
55151546.8069,64.0
55151566.1513,64.0
55151586.0646,64.0
55151607.3913,65.0
55151626.4543,65.0
55151646.1993,65.0
55151666.5604,64.0
55151685.9655,64.0
55151706.8873,64.0
55151726.3575,64.0
55151746.6454,63.0
55151766.7478,63.0
55151786.0515,63.0
55151806.9275,64.0
55151826.5996,64.0
55151846.6124,63.0
55151866.1525,63.0
55151886.4281,63.0
55151906.9457,62.0
