Time,EncoderAngle
1644557720.1662788,636.00
1644557720.1752908,639.00
1644557720.1837046,642.00
1644557720.191612,645.00
1644557720.2000992,648.00
1644557720.207735,651.00
1644557720.2162015,654.00
1644557720.2245488,657.00
1644557720.2327547,660.00
1644557720.2408419,663.00
1644557720.2492633,666.00
1644557720.2611938,669.00
1644557720.2693205,672.00
1644557720.277482,675.00
1644557720.285312,678.00
1644557720.294334,681.00
1644557720.301554,684.00
1644557720.310599,687.00
1644557720.3185503,690.00
1644557720.3268442,693.00
1644557720.3348901,696.00
1644557720.3431733,699.00
1644557720.3516562,702.00
1644557720.3595583,705.00
1644557720.367138,708.00
1644557720.375933,711.00
1644557720.3836067,714.00
1644557720.3923268,717.00
1644557720.3997092,720.00
1644557720.4087079,723.00
1644557720.417013,726.00
1644557720.4250815,729.00
1644557720.4334157,732.00
1644557720.4415054,735.00
1644557720.4499702,738.00
1644557720.4576423,741.00
1644557720.466451,744.00
1644557720.4744709,747.00
1644557720.4827573,750.00
1644557720.4907205,753.00
1644557720.4990509,756.00
1644557720.5114636,759.00
1644557720.5186992,762.00
1644557720.5278475,765.00
1644557720.5349033,768.00
1644557720.5440674,771.00
1644557720.5511525,774.00
1644557720.5602744,777.00
1644557720.5680141,780.00
1644557720.5760353,783.00
1644557720.5839748,786.00
1644557720.592965,789.00
1644557720.6009312,792.00
1644557720.608909,795.00
1644557720.6168885,798.00
1644557720.6258779,801.00
1644557720.6338782,804.00
1644557720.641835,807.00
1644557720.6498327,810.00
1644557720.6585836,813.00
1644557720.6667745,816.00
1644557720.6748755,819.00
1644557720.6830776,822.00
1644557720.6913023,825.00
1644557720.699557,828.00
1644557720.7072768,831.00
1644557720.715297,834.00
1644557720.7242506,837.00
1644557720.7322268,840.00
1644557720.7399824,843.00
1644557720.7488353,846.00
1644557720.7611127,849.00
1644557720.7692008,852.00
1644557720.777497,855.00
1644557720.785412,858.00
1644557720.7936132,861.00
1644557720.8014038,864.00
1644557720.8103495,867.00
1644557720.8175478,870.00
1644557720.8268297,873.00
1644557720.8342106,876.00
1644557720.842365,879.00
1644557720.8513088,882.00
1644557720.8593152,885.00
1644557720.8671014,888.00
1644557720.8759637,891.00
1644557720.883586,894.00
1644557720.8923254,897.00
1644557720.9004436,900.00
1644557720.9084394,903.00
1644557720.9168656,906.00
1644557720.924814,909.00
1644557720.9331446,912.00
1644557720.9411075,915.00
1644557720.9496038,918.00
1644557720.9575295,921.00
1644557720.965932,924.00
1644557720.9734273,927.00
1644557720.982441,930.00
1644557720.9904695,933.00
1644557720.9989257,936.00
1644557721.0111232,939.00
1644557721.0185783,942.00
1644557721.027539,945.00
1644557721.034831,948.00
1644557721.0438836,951.00
1644557721.051001,954.00
1644557721.060289,957.00
1644557721.0675986,960.00
1644557721.0765407,963.00
1644557721.0842066,966.00
1644557721.0923498,969.00
1644557721.1010997,972.00
1644557721.1091592,975.00
1644557721.1173987,978.00
1644557721.126087,981.00
1644557721.133282,984.00
1644557721.1416473,987.00
1644557721.1502697,990.00
1644557721.1582143,993.00
1644557721.1666431,996.00
1644557721.1746418,999.00
1644557721.183041,1002.00
1644557721.1951973,1005.00
1644557721.2029626,1008.00
1644557721.2117736,1011.00
1644557721.223697,1014.00
1644557721.232299,1017.00
1644557721.2406628,1020.00
1644557721.2486405,1023.00
1644557721.2609653,1026.00
1644557721.268286,1029.00
1644557721.27731,1032.00
1644557721.2885573,1035.00
1644557721.297811,1038.00
1644557721.305175,1041.00
1644557721.317896,1044.00
1644557721.3263993,1047.00
1644557721.3344,1050.00
1644557721.342821,1053.00
1644557721.3545768,1056.00
1644557721.3625016,1059.00
1644557721.3709164,1062.00
1644557721.3839207,1065.00
1644557721.3917663,1068.00
1644557721.399172,1071.00
1644557721.407795,1074.00
1644557721.4203086,1077.00
1644557721.4284053,1080.00
1644557721.4364192,1083.00
1644557721.4487581,1086.00
1644557721.4577482,1089.00
1644557721.4647155,1092.00
1644557721.473692,1095.00
1644557721.4856596,1098.00
1644557721.493662,1101.00
1644557721.501622,1104.00
1644557721.5135844,1107.00
1644557721.5225613,1110.00
1644557721.5305717,1113.00
1644557721.538518,1116.00
1644557721.5514872,1119.00
1644557721.5594618,1122.00
1644557721.5674407,1125.00
1644557721.5794091,1128.00
1644557721.5873873,1131.00
1644557721.5963826,1134.00
1644557721.6043427,1137.00
1644557721.6163292,1140.00
1644557721.624311,1143.00
1644557721.6332636,1146.00
1644557721.6452322,1149.00
1644557721.6532204,1152.00
1644557721.6611888,1155.00
1644557721.6701653,1158.00
1644557721.682133,1161.00
1644557721.6901145,1164.00
1644557721.6980906,1167.00
1644557721.7110562,1170.00
1644557721.7190373,1173.00
1644557721.727013,1176.00
1644557721.7359967,1179.00
1644557721.747957,1182.00
1644557721.7559373,1185.00
1644557721.7639146,1188.00
